simulacion,objetos,algoritmo,pesos,valores,capacidad,tiempo,memoria_kb,nodos,valor_optimo
1,5,BFS,"[11, 1, 5, 4, 12]","[4, 24, 8, 5, 4]",13,7.020001066848636e-05,2.1875,35,37
1,5,DFS,"[11, 1, 5, 4, 12]","[4, 24, 8, 5, 4]",13,3.260001540184021e-05,0.125,35,37
2,5,BFS,"[11, 15, 2, 7, 1]","[24, 18, 19, 2, 3]",14,2.6800029445439577e-05,1.15625,27,46
2,5,DFS,"[11, 15, 2, 7, 1]","[24, 18, 19, 2, 3]",14,2.4100008886307478e-05,0.1328125,27,46
3,5,BFS,"[4, 9, 1, 4, 11]","[8, 20, 18, 23, 23]",11,2.7099973522126675e-05,1.484375,33,49
3,5,DFS,"[4, 9, 1, 4, 11]","[8, 20, 18, 23, 23]",11,2.7499976567924023e-05,0.125,33,49
4,5,BFS,"[9, 4, 10, 13, 1]","[14, 15, 9, 28, 25]",14,3.029999788850546e-05,1.734375,33,54
4,5,DFS,"[9, 4, 10, 13, 1]","[14, 15, 9, 28, 25]",14,2.759997732937336e-05,0.1328125,33,54
5,5,BFS,"[13, 12, 6, 3, 13]","[6, 14, 9, 7, 11]",18,2.3200002033263445e-05,0.890625,31,23
5,5,DFS,"[13, 12, 6, 3, 13]","[6, 14, 9, 7, 11]",18,2.570002106949687e-05,0.1015625,31,23
6,5,BFS,"[2, 7, 6, 6, 5]","[3, 4, 28, 20, 26]",10,2.4200009647756815e-05,0.9296875,31,31
6,5,DFS,"[2, 7, 6, 6, 5]","[3, 4, 28, 20, 26]",10,2.4500011932104826e-05,0.1015625,31,31
7,5,BFS,"[1, 8, 2, 7, 9]","[24, 18, 30, 3, 10]",10,3.3400021493434906e-05,1.734375,38,57
7,5,DFS,"[1, 8, 2, 7, 9]","[24, 18, 30, 3, 10]",10,3.0199997127056122e-05,0.125,38,57
8,5,BFS,"[14, 10, 14, 10, 12]","[21, 29, 12, 7, 3]",24,2.9099988751113415e-05,1.546875,36,50
