objetos,algoritmo,tiempo_promedio,tiempo_mediana,tiempo_minimo,tiempo_maximo,tiempo_desviacion,memoria_promedio,memoria_mediana,memoria_minima,memoria_maxima,memoria_desviacion,nodos_promedio
5,BFS,2.970501082018018e-05,2.820001100189984e-05,2.1200045011937615e-05,7.020001066848636e-05,1.011686772747663e-05,1.37578125,1.515625,0.875,2.1875,0.38628260726144187,33.3
5,DFS,2.7104996843263506e-05,2.720000338740647e-05,2.3100001271814108e-05,3.260001540184021e-05,2.50020635389415e-06,0.1140625,0.109375,0.0859375,0.1484375,0.016110866919403714,33.3
8,BFS,0.000178009996307035,0.0001720500004012,0.0001517999917268,0.0002831000019796,2.917235658668933e-05,4.025,3.8984375,2.6484375,11.359375,1.8000376201066859,214.25
8,DFS,0.000168520005536215,0.00017064998974085,0.0001481999643146,0.0002113999798893,1.3220142746424068e-05,0.23671875,0.234375,0.1953125,0.28125,0.019320408021530525,214.25
10,BFS,0.00110634500160808,0.0011115000233984998,0.0008342000073753,0.0014169000205583,0.00012269375318282028,24.391796875,23.33984375,21.5625,38.0078125,3.7234948332696933,827.7
10,DFS,0.00089131001441267,0.00091169998631805,0.0007025999948382,0.0010044000227935,6.79787686025994e-05,0.33515625,0.328125,0.2890625,0.3828125,0.026084121096085728,827.7
12,BFS,0.00490356500376943,0.00473894999595355,0.0041154000209644,0.0085087999468669,0.0009355119449910458,108.390625,107.71875,93.0703125,146.671875,11.895852266274836,3071.3
12,DFS,0.00406395499303467,0.0035227999906054996,0.0031628999859094,0.0103818000061437,0.0016659236544186373,0.44453125,0.4296875,0.328125,0.625,0.0649152962141111,3071.3
15,BFS,0.04147082000272344,0.0413018000253941,0.0376069000340066,0.046765899984166,0.0029248039076147426,1289.921484375,1279.78515625,1179.21875,1531.8046875,83.22524641353054,22012.05
15,DFS,0.023885049993987155,0.023740900011034648,0.0209241000120528,0.0269883999717421,0.0018176492261198914,0.640625,0.625,0.4765625,0.8046875,0.07523435151595524,22012.05
