simulacion,n,hostname,procesador,ram_gb,python_version,algoritmo,tiempo,memoria_kb,nodos,solucion_encontrada
1,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,0.00012650000280700624,1.3828125,16,True
1,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,5.4899996030144393e-05,0.1484375,9,True
2,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.339999916031957e-05,1.3203125,16,True
2,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.4500000765547156e-05,0.1484375,9,True
3,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.099999543745071e-05,1.3203125,16,True
3,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.310000465717167e-05,0.1484375,9,True
4,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.959999932907522e-05,1.3203125,16,True
4,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.310000465717167e-05,0.1484375,9,True
5,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.019998934585601e-05,1.3203125,16,True
5,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.340000694151968e-05,0.1484375,9,True
6,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.949999856762588e-05,1.3203125,16,True
6,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.339999238960445e-05,0.1484375,9,True
7,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.909999552182853e-05,1.3203125,16,True
7,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.200001083314419e-05,0.1484375,9,True
8,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.889999399892986e-05,1.3203125,16,True
8,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.160000778734684e-05,0.1484375,9,True
9,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.8000001697801054e-05,1.3203125,16,True
9,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.2199997804127634e-05,0.1484375,9,True
10,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.910001007374376e-05,1.3203125,16,True
10,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.2800002372823656e-05,0.1484375,9,True
11,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.8299989430233836e-05,1.3203125,16,True
11,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,5.7999990531243384e-05,0.1484375,9,True
12,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.879999323748052e-05,1.3203125,16,True
12,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.190001007169485e-05,0.1484375,9,True
13,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.739999712910503e-05,1.3203125,16,True
13,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.399999695830047e-05,0.1484375,9,True
14,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.660000897478312e-05,1.3203125,16,True
14,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.440000000409782e-05,0.1484375,9,True
15,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.1700000767596066e-05,1.3203125,16,True
15,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.440000000409782e-05,0.1484375,9,True
16,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.2100003813393414e-05,1.3203125,16,True
16,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.880000440403819e-05,0.1484375,9,True
17,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.560000136028975e-05,1.3203125,16,True
17,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.399999695830047e-05,0.1484375,9,True
18,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.610000516753644e-05,1.3203125,16,True
18,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.440000000409782e-05,0.1484375,9,True
19,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.5500000598840415e-05,1.3203125,16,True
19,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.649998689070344e-05,0.1484375,9,True
20,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.190000229049474e-05,1.3203125,16,True
20,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,4.300000728107989e-05,0.1484375,9,True
21,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,7.88000033935532e-05,1.3203125,16,True
21,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,4.050000279676169e-05,0.1484375,9,True
22,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.190000229049474e-05,1.3203125,16,True
22,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.399999695830047e-05,0.1484375,9,True
23,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.160000000614673e-05,1.3203125,16,True
23,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.429999924264848e-05,0.1484375,9,True
24,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.0399990868754685e-05,1.3203125,16,True
24,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.3899996196851134e-05,0.1484375,9,True
25,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.160000000614673e-05,1.3203125,16,True
25,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.4500000765547156e-05,0.1484375,9,True
26,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.149999924469739e-05,1.3203125,16,True
26,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.3899996196851134e-05,0.1484375,9,True
27,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,5.149999924469739e-05,1.3203125,16,True
