n,algoritmo,tiempo_promedio,tiempo_mediana,tiempo_minimo,tiempo_maximo,tiempo_desviacion,memoria_promedio,memoria_mediana,memoria_minima,memoria_maxima,memoria_desviacion,nodos_promedio,nodos_mediana
4,BFS,5.573500020545816e-05,4.839999746764079e-05,4.5199994929134846e-05,0.0002636999997776,2.6884690187177493e-05,1.3209375,1.3203125,1.3203125,1.3828125,0.0062500000000000056,16.0,16.0
4,DFS,3.6232999118510054e-05,3.199999628122896e-05,3.029999788850546e-05,0.0001262000005226,1.2015873371264894e-05,0.1484375,0.1484375,0.1484375,0.1484375,0.0,9.0,9.0
5,BFS,0.00017966599945789302,0.0001642499992158,0.0001503999956184,0.0003552999987732,3.533952821323225e-05,1.6953125,1.6953125,1.6953125,1.6953125,0.0,45.0,45.0
5,DFS,3.211899995221755e-05,2.7900001441594213e-05,2.590000804048032e-05,0.0002295000012964,2.075732657152785e-05,0.203125,0.203125,0.203125,0.203125,0.0,6.0,6.0
6,BFS,0.0006964509999670079,0.0006470500011345999,0.0005641000025207,0.0019146999984513,0.00016212860083716064,2.98828125,2.9609375,2.9609375,5.6953125,0.2734375000000001,150.0,150.0
6,DFS,0.00015836400023540399,0.00014480000390895,0.0001298000133829,0.0003925999917555,3.9266451471517546e-05,0.3515625,0.3515625,0.3515625,0.3515625,0.0,32.0,32.0
7,BFS,0.003186304000409968,0.00297614999726645,0.0027410000038798,0.0061371999909169,0.0005435470286295161,13.584375,13.4921875,13.4921875,22.7109375,0.9218749999999992,513.0,513.0
7,DFS,7.879299941123049e-05,6.964999192859977e-05,6.36000040685758e-05,0.0002126000035787,2.4968234807525845e-05,0.4296875,0.4296875,0.4296875,0.4296875,0.0,10.0,10.0
8,BFS,0.014888150999613525,0.01472025000111895,0.0131117999990237,0.0200785000051837,0.0010833463327752297,58.864375,58.609375,58.609375,84.109375,2.5500000000000016,1966.0,1966.0
8,DFS,0.000742575000913304,0.00069175000680835,0.000536200008355,0.0014272999978857,0.00015817396812645382,0.5703125,0.5703125,0.5703125,0.5703125,0.0,114.0,114.0
9,BFS,0.07631062799977367,0.07542990000365529,0.067529399995692,0.1582654000085313,0.00860345470946202,270.72859375,269.8359375,269.8359375,359.0234375,8.91867450727173,8043.0,8043.0
9,DFS,0.000349452999507722,0.00032189999910764997,0.0002058000100078,0.0009508999937679,0.00010068373661153769,0.703125,0.703125,0.703125,0.703125,0.0,42.0,42.0
10,BFS,0.4569041080014722,0.4466874000063399,0.4315816000016639,0.6442505000013625,0.040219418688399754,1606.4746875,1606.46875,1606.46875,1606.578125,0.023896494634339068,34816.0,34816.0
10,DFS,0.000912970999634074,0.00086880000162635,0.0005621000018436,0.0016497999895364,0.00019763287676468922,0.9296875,0.9296875,0.9296875,0.9296875,0.0,103.0,103.0
11,BFS,2.704013790001336,2.560305899991363,1.7700674000079744,3.3142287000082438,0.30445742453206176,8172.25703125,8172.2265625,8172.2265625,8172.390625,0.04677524461984836,164247.0,164247.0
11,DFS,0.000574363999767172,0.00055810000048945,0.0003513999981805,0.0011616999981924,0.00013730672386168236,1.1953125,1.1953125,1.1953125,1.1953125,0.0,53.0,53.0
12,BFS,19.764829729999473,19.840936549997423,16.66865940000571,22.131053999997675,1.0613861784646146,43483.203125,43483.203125,43483.203125,43483.203125,0.0,841990.0,841990.0
12,DFS,0.00333337999909412,0.00301720000425115,0.001994399994146,0.0058723999973153,0.0008520093124866863,1.5234375,1.5234375,1.5234375,1.5234375,0.0,262.0,262.0
13,BFS,111.98945571999647,124.23100649999833,69.49445220000052,129.2226762999926,23.558651784038755,234769.9375,234769.9375,234769.9375,234769.9375,0.0,4601179.0,4601179.0
13,DFS,0.00122534999682098,0.0011933999994653,0.0007499000057578,0.0019440999894868,0.00044623822748274104,1.71875,1.71875,1.71875,1.71875,0.0,112.0,112.0
