simulacion,algoritmo,inicio,mezcla,nodos,movimientos,profundidad,tiempo,memoria_kb,limite_alcanzado
1,BFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,74,6,6,0.0006735000060871243,30.35546875,False
1,DFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,2954,2876,2876,0.03262019995599985,1326.80859375,False
2,BFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,74,6,6,0.00047889997949823737,16.41796875,False
2,DFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,2954,2876,2876,0.026348399987909943,1121.29296875,False
3,BFS,"(1, 5, 2, 4, 3, 6, 7, 8, 0)",6,62,6,6,0.00044460000935941935,16.41796875,False
3,DFS,"(1, 5, 2, 4, 3, 6, 7, 8, 0)",6,50000,,,0.4722264999873005,17358.32421875,True
4,BFS,"(1, 2, 3, 7, 0, 5, 8, 4, 6)",6,93,6,6,0.0006428000051528215,16.41796875,False
4,DFS,"(1, 2, 3, 7, 0, 5, 8, 4, 6)",6,50000,,,0.45538719999603927,17359.03515625,True
5,BFS,"(2, 3, 0, 1, 5, 6, 4, 7, 8)",6,84,6,6,0.0006164999795146286,16.41796875,False
5,DFS,"(2, 3, 0, 1, 5, 6, 4, 7, 8)",6,31,30,30,0.00021280004875734448,6.02734375,False
6,BFS,"(1, 5, 2, 7, 4, 3, 0, 8, 6)",6,62,6,6,0.00039030000334605575,16.48046875,False
6,DFS,"(1, 5, 2, 7, 4, 3, 0, 8, 6)",6,50000,,,0.4374647000222467,17359.15234375,True
7,BFS,"(1, 2, 3, 4, 6, 8, 0, 7, 5)",6,88,6,6,0.000686999992467463,16.48046875,False
7,DFS,"(1, 2, 3, 4, 6, 8, 0, 7, 5)",6,50000,,,0.4417503000004217,17363.25390625,True
8,BFS,"(1, 2, 3, 7, 0, 5, 8, 4, 6)",6,93,6,6,0.0006885999464429915,16.48046875,False
8,DFS,"(1, 2, 3, 7, 0, 5, 8, 4, 6)",6,50000,,,0.4636674000066705,17359.09765625,True
9,BFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,74,6,6,0.0005893000052310526,16.48046875,False
9,DFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,2954,2876,2876,0.03303259995300323,1122.01171875,False
10,BFS,"(1, 3, 0, 5, 2, 6, 4, 7, 8)",6,79,6,6,0.0006009000353515148,16.48046875,False
10,DFS,"(1, 3, 0, 5, 2, 6, 4, 7, 8)",6,50000,,,0.4487957999808714,17358.38671875,True
